Time,Open,High,Low,Last,Change,Volume
5/28/2009,22.11,22.445,22.085,22.3,0.105,11895200
5/27/2009,22.25,22.37,22.14,22.195,-0.09,11901400
5/26/2009,22.12,22.455,21.825,22.285,0.315,14944400
5/22/2009,21.77,22.275,21.66,21.97,0.31,14887200
5/21/2009,21.505,21.715,21.4,21.66,0.12,12634800
5/20/2009,21.615,21.905,21.5,21.54,0.1,19994600
5/19/2009,21.62,21.775,21.375,21.44,-0.16,15897800
5/18/2009,21.795,21.915,21.44,21.6,-0.06,20211600
5/15/2009,22.275,22.325,21.63,21.66,-0.655,31829600
5/14/2009,22.735,22.78,22.31,22.315,-0.435,19211200
5/13/2009,22.575,23.155,22.52,22.75,0.045,15656600
5/12/2009,22.53,22.915,22.46,22.705,0.27,18319800
5/11/2009,22.48,22.715,22.26,22.435,-0.03,12941600
5/8/2009,22.575,22.75,22.325,22.465,0.155,19459600
5/7/2009,21.62,22.38,21.5,22.31,0.845,25607400
5/6/2009,21.815,22,21.19,21.465,-0.4,19981800
5/5/2009,21.6,22,21.565,21.865,0.275,18758200
5/4/2009,21.115,21.635,21.05,21.59,0.83,23373000
5/1/2009,20.985,21.02,20.635,20.76,-0.165,17751400
4/30/2009,21.5,21.535,20.685,20.925,-0.385,33712800
4/29/2009,21.565,21.59,21.195,21.31,-0.195,16215400
4/28/2009,21.525,21.705,21.45,21.505,-0.075,13887000
4/27/2009,21.5,21.93,21.43,21.58,0.035,15516200
4/24/2009,21.785,21.95,21.44,21.545,-0.135,18619000
4/23/2009,21.285,21.72,21.005,21.68,0.43,21151600
4/22/2009,22.065,22.07,21.175,21.25,-0.935,27639400
4/21/2009,22.115,22.465,21.935,22.185,0.14,18761800
4/20/2009,21.96,22.22,21.865,22.045,0.1,24729200
4/17/2009,21.44,22.065,21.33,21.945,0.6,30807000
4/16/2009,21.5,21.55,21.13,21.345,0.015,29082400
4/15/2009,21.705,22.105,20.94,21.33,-1.025,53487600
4/14/2009,22.265,22.455,22.08,22.355,0.165,27181800
4/13/2009,21.93,22.515,21.91,22.19,0.175,20122000
4/9/2009,22.23,22.23,21.43,22.015,0.18,29978400
4/8/2009,21.64,22.25,21.535,21.835,0.375,31167200
4/7/2009,21.555,21.84,21.31,21.46,-0.22,26041800
4/6/2009,21.93,22.16,21.38,21.68,-0.38,34089000
4/3/2009,22.775,23.075,21.885,22.06,-0.63,27939400
4/2/2009,23.74,23.74,22.675,22.69,-0.66,35111000
4/1/2009,23.56,23.565,23,23.35,-0.5,24362600
3/31/2009,24.13,24.4,23.815,23.85,-0.095,20651600
3/30/2009,23.345,24.06,23.325,23.945,0.645,28319400
3/27/2009,23.02,23.56,22.935,23.3,0.075,22038800
3/26/2009,23.22,23.23,22.375,23.225,0.21,33463800
3/25/2009,23.44,23.5,22.52,23.015,-0.215,39347600
3/24/2009,24.18,24.46,23.07,23.23,-1.15,30819000
3/23/2009,24.14,24.38,23.875,24.38,0.61,14325000
3/20/2009,24,24.12,23.635,23.77,0.005,19029400
3/19/2009,24.49,24.495,23.505,23.765,-0.55,18548200
3/18/2009,24.455,24.78,24.17,24.315,-0.255,17235400
3/17/2009,23.96,24.585,23.88,24.57,0.645,21567800
3/16/2009,23.64,24.205,23.63,23.925,0.5,23073200
3/13/2009,23.47,23.59,23.005,23.425,0.1,26540000
3/12/2009,22.18,23.64,22.05,23.325,1.09,26134800
3/11/2009,23.515,23.65,22.21,22.235,-1.255,29488600
3/10/2009,23.65,23.715,23.17,23.49,0.165,23055000
3/9/2009,23.225,23.66,23.06,23.325,-0.12,19930000
3/6/2009,23.17,23.625,23.005,23.445,0.425,20321000
3/5/2009,23.2,23.615,22.825,23.02,-0.57,19551400
3/4/2009,23.25,23.93,22.765,23.59,0.68,23662800
3/3/2009,23.675,23.79,22.905,22.91,-0.61,26850400
3/2/2009,23.345,23.7,22.695,23.52,-0.15,32358600
