evaluation instances,total train time,total train speed,last train time,last train speed,test time,test speed,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
570000.0,2.40625,236883.1168831169,0.03125,320000.0,0.0,Infinity,1000.0,90.60000000000001,81.17107877700148,80.65843621399178,80.04246284501062,570000.0,993424.0,385.0,193.0,193.0,10.0,0.0,0.0,1.0
580000.0,2.4375,237948.71794871794,0.03125,320000.0,0.0,Infinity,1000.0,89.2,78.38478288715255,78.22580645161291,76.26373626373628,580000.0,1003840.0,387.0,194.0,194.0,10.0,0.0,0.0,1.0
590000.0,2.484375,237484.27672955976,0.046875,213333.33333333334,0.0,Infinity,1000.0,92.2,84.39700422481117,84.2741935483871,84.11405295315683,590000.0,1008456.0,389.0,195.0,195.0,10.0,0.0,0.0,1.0
600000.0,2.53125,237037.03703703705,0.046875,213333.33333333334,0.0,Infinity,1000.0,90.60000000000001,81.17047530527867,80.97165991902835,79.87152034261243,600000.0,1029400.0,397.0,199.0,199.0,11.0,0.0,0.0,1.0
610000.0,2.578125,236606.0606060606,0.046875,213333.33333333334,0.0,Infinity,1000.0,87.1,74.18451070642385,74.60629921259843,72.78481012658227,610000.0,1055856.0,409.0,205.0,205.0,11.0,0.0,0.0,1.0
620000.0,2.625,236190.47619047618,0.046875,213333.33333333334,0.0,Infinity,1000.0,91.2,82.34066463316745,82.25806451612904,79.8165137614679,620000.0,1070200.0,417.0,209.0,209.0,11.0,0.0,0.0,1.0
630000.0,2.671875,235789.47368421053,0.046875,213333.33333333334,0.0,Infinity,1000.0,89.60000000000001,79.20266205925641,79.88394584139266,79.03225806451614,630000.0,1112216.0,429.0,215.0,215.0,11.0,0.0,0.0,1.0
640000.0,2.71875,235402.2988505747,0.046875,213333.33333333334,0.0,Infinity,1000.0,90.10000000000001,80.15284315533708,79.11392405063292,78.89125799573561,640000.0,1123720.0,437.0,219.0,219.0,11.0,0.0,0.0,1.0
650000.0,2.765625,235028.24858757062,0.046875,213333.33333333334,0.0,Infinity,1000.0,88.6,77.19917917045014,77.734375,76.49484536082475,650000.0,1169792.0,451.0,226.0,226.0,11.0,0.0,0.0,1.0
660000.0,2.828125,233370.16574585636,0.0625,160000.0,0.0,Infinity,1000.0,91.0,81.9367787255394,81.67006109979634,80.21978021978022,660000.0,1185000.0,457.0,229.0,229.0,11.0,0.0,0.0,1.0
670000.0,2.875,233043.47826086957,0.046875,213333.33333333334,0.0,Infinity,1000.0,89.8,79.60269244459732,79.64071856287426,78.38983050847457,670000.0,1185320.0,457.0,229.0,229.0,11.0,0.0,0.0,1.0
680000.0,2.890625,235243.24324324325,0.015625,640000.0,0.015625,64000.0,1000.0,91.2,82.39549324627106,82.87937743190662,81.43459915611815,680000.0,1185016.0,459.0,230.0,230.0,11.0,0.0,0.0,1.0
690000.0,2.9375,234893.6170212766,0.046875,213333.33333333334,0.0,Infinity,1000.0,90.5,80.98250390359131,81.55339805825244,80.24948024948026,690000.0,1205704.0,465.0,233.0,233.0,11.0,0.0,0.0,1.0
700000.0,2.984375,234554.97382198952,0.046875,213333.33333333334,0.0,Infinity,1000.0,91.4,82.77685208920789,82.48472505091651,82.3045267489712,700000.0,1221232.0,471.0,236.0,236.0,11.0,0.0,0.0,1.0
710000.0,3.03125,234226.80412371134,0.046875,213333.33333333334,0.0,Infinity,1000.0,92.4,84.80127669275782,85.82089552238806,83.89830508474577,710000.0,1231904.0,475.0,238.0,238.0,11.0,0.0,0.0,1.0
720000.0,3.0625,235102.04081632654,0.03125,320000.0,0.0,Infinity,1000.0,89.4,78.79796460460204,78.84231536926148,78.714859437751,720000.0,1247432.0,481.0,241.0,241.0,11.0,0.0,0.0,1.0
730000.0,3.125,233600.0,0.0625,160000.0,0.0,Infinity,1000.0,89.4,78.79525013603048,78.49898580121705,78.00829875518673,730000.0,1267016.0,489.0,245.0,245.0,11.0,0.0,0.0,1.0
740000.0,3.171875,233300.49261083745,0.046875,213333.33333333334,0.0,Infinity,1000.0,89.8,79.6022029620801,80.03913894324853,78.343949044586,740000.0,1282544.0,495.0,248.0,248.0,11.0,0.0,0.0,1.0
750000.0,3.203125,234146.34146341463,0.03125,320000.0,0.015625,64000.0,1000.0,87.8,75.60468390069107,74.04255319148936,73.76344086021506,750000.0,1303808.0,503.0,252.0,252.0,11.0,0.0,0.0,1.0
760000.0,3.265625,232727.27272727274,0.0625,160000.0,0.0,Infinity,1000.0,90.5,80.98828878589211,81.0,80.24948024948026,760000.0,1318952.0,511.0,256.0,256.0,11.0,0.0,0.0,1.0
770000.0,3.296875,233554.50236966825,0.03125,320000.0,0.0,Infinity,1000.0,89.7,79.39274624667884,79.14979757085021,78.13163481953292,770000.0,1329368.0,513.0,257.0,257.0,11.0,0.0,0.0,1.0
780000.0,3.34375,233271.0280373832,0.046875,213333.33333333334,0.0,Infinity,1000.0,91.4,82.7982798279828,83.10412573673871,82.48472505091651,780000.0,1345136.0,519.0,260.0,260.0,11.0,0.0,0.0,1.0
790000.0,3.390625,232995.39170506914,0.046875,213333.33333333334,0.0,Infinity,1000.0,88.4,76.79155212497349,77.02970297029704,75.93360995850622,790000.0,1370152.0,531.0,266.0,266.0,11.0,0.0,0.0,1.0
800000.0,3.40625,234862.3853211009,0.015625,640000.0,0.015625,64000.0,1000.0,90.7,81.40029759523848,80.50314465408806,81.13590263691684,800000.0,1391240.0,537.0,269.0,269.0,11.0,0.0,0.0,1.0
810000.0,3.453125,234570.13574660633,0.046875,213333.33333333334,0.0,Infinity,1000.0,88.7,77.40180785537157,77.79960707269156,76.26050420168067,810000.0,1401272.0,541.0,271.0,271.0,12.0,0.0,0.0,1.0
820000.0,3.484375,235336.32286995515,0.03125,320000.0,0.0,Infinity,1000.0,90.5,80.99847987839027,81.1881188118812,79.25764192139738,820000.0,1422216.0,549.0,275.0,275.0,12.0,0.0,0.0,1.0
830000.0,3.53125,235044.24778761063,0.046875,213333.33333333334,0.0,Infinity,1000.0,91.3,82.60097434543667,82.20858895705521,82.13552361396304,830000.0,1438064.0,555.0,278.0,278.0,12.0,0.0,0.0,1.0
840000.0,3.5625,235789.47368421053,0.03125,320000.0,0.0,Infinity,1000.0,91.10000000000001,82.18703215941206,82.88461538461539,81.45833333333334,840000.0,1447616.0,559.0,280.0,280.0,12.0,0.0,0.0,1.0
850000.0,3.609375,235497.8354978355,0.046875,213333.33333333334,0.0,Infinity,1000.0,91.10000000000001,82.19301966370818,82.81853281853283,81.38075313807532,850000.0,1458768.0,563.0,282.0,282.0,12.0,0.0,0.0,1.0
860000.0,3.65625,235213.67521367522,0.046875,213333.33333333334,0.0,Infinity,1000.0,90.2,80.38234410969874,80.55555555555556,79.05982905982907,860000.0,1474296.0,569.0,285.0,285.0,12.0,0.0,0.0,1.0
870000.0,3.6875,235932.2033898305,0.03125,320000.0,0.0,Infinity,1000.0,89.1,78.18219667248475,77.84552845528455,77.05263157894737,870000.0,1484968.0,573.0,287.0,287.0,12.0,0.0,0.0,1.0
880000.0,3.734375,235648.53556485355,0.046875,213333.33333333334,0.0,Infinity,1000.0,90.10000000000001,80.19286943299588,79.95951417004049,79.375,880000.0,1510288.0,583.0,292.0,292.0,12.0,0.0,0.0,1.0
890000.0,3.765625,236348.54771784233,0.03125,320000.0,0.0,Infinity,1000.0,91.60000000000001,83.18594344872314,82.78688524590164,82.08955223880598,890000.0,1530432.0,591.0,296.0,296.0,12.0,0.0,0.0,1.0
900000.0,3.8125,236065.5737704918,0.046875,213333.33333333334,0.0,Infinity,1000.0,91.5,82.94405650533751,82.68839103869654,81.95329087048833,900000.0,1546136.0,599.0,300.0,300.0,12.0,0.0,0.0,1.0
910000.0,3.84375,236747.9674796748,0.03125,320000.0,0.015625,64000.0,1000.0,91.60000000000001,83.12059929910298,83.4319526627219,81.41592920353983,910000.0,1561408.0,603.0,302.0,302.0,12.0,0.0,0.0,1.0
920000.0,3.890625,236465.86345381525,0.046875,213333.33333333334,0.0,Infinity,1000.0,90.3,80.58990675151078,79.57894736842105,80.0411522633745,920000.0,1577256.0,609.0,305.0,305.0,12.0,0.0,0.0,1.0
930000.0,3.9375,236190.47619047618,0.046875,213333.33333333334,0.0,Infinity,1000.0,90.0,80.00311951335593,80.6949806949807,79.03563941299791,930000.0,1593904.0,615.0,308.0,308.0,12.0,0.0,0.0,1.0
940000.0,3.984375,235921.568627451,0.046875,213333.33333333334,0.0,Infinity,1000.0,91.60000000000001,83.18688577090131,82.78688524590164,82.57261410788382,940000.0,1604576.0,619.0,310.0,310.0,12.0,0.0,0.0,1.0
950000.0,4.015625,236575.87548638132,0.03125,320000.0,0.0,Infinity,1000.0,89.8,79.5673076923077,80.42226487523992,77.82608695652175,950000.0,1609432.0,621.0,311.0,311.0,12.0,0.0,0.0,1.0
960000.0,4.0625,236307.6923076923,0.046875,213333.33333333334,0.0,Infinity,1000.0,90.3,80.60418949506906,80.08213552361397,80.24439918533605,960000.0,1637368.0,633.0,317.0,317.0,12.0,0.0,0.0,1.0
970000.0,4.109375,236045.62737642587,0.046875,213333.33333333334,0.0,Infinity,1000.0,89.1,78.20139511071292,76.95560253699789,76.45788336933046,970000.0,1665984.0,645.0,323.0,323.0,12.0,0.0,0.0,1.0
980000.0,4.15625,235789.47368421053,0.046875,213333.33333333334,0.0,Infinity,1000.0,88.7,77.4003615942145,77.30923694779118,76.00849256900213,980000.0,1681128.0,653.0,327.0,327.0,12.0,0.0,0.0,1.0
990000.0,4.203125,235539.03345724908,0.046875,213333.33333333334,0.0,Infinity,1000.0,90.9,81.7994175813626,81.69014084507043,80.13100436681223,990000.0,1702232.0,661.0,331.0,331.0,12.0,0.0,0.0,1.0
1000000.0,4.4375,225352.11267605633,0.234375,42666.666666666664,0.0,Infinity,1000.0,91.9,83.79935197407897,84.36293436293437,83.4016393442623,1000000.0,1732856.0,669.0,335.0,335.0,12.0,5052.6567164179105,0.0,1.023759334530674
